"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-01,"AS","OGG","Kahului, HI","ANC","Anchorage, AK","1605",-2.00,0.00,"2312",5.00,5.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","KOA","Kona, HI","1525",-5.00,0.00,"2001",-49.00,0.00,0.00,,,,,,
2017-12-01,"UA","ANC","Anchorage, AK","DEN","Denver, CO","2325",-2.00,0.00,"0608",-38.00,0.00,0.00,,,,,,
2017-12-01,"UA","DEN","Denver, CO","ANC","Anchorage, AK","1145",-6.00,0.00,"1508",-28.00,0.00,0.00,,,,,,
2017-12-01,"DL","ANC","Anchorage, AK","SEA","Seattle, WA","0600",-3.00,0.00,"1013",-30.00,0.00,0.00,,,,,,
2017-12-01,"DL","SEA","Seattle, WA","ANC","Anchorage, AK","2115",-6.00,0.00,"2338",-28.00,0.00,0.00,,,,,,
2017-12-01,"DL","ANC","Anchorage, AK","SEA","Seattle, WA","0059",-8.00,0.00,"0507",-30.00,0.00,0.00,,,,,,
2017-12-01,"DL","FAI","Fairbanks, AK","SEA","Seattle, WA","0100",-7.00,0.00,"0549",-12.00,0.00,0.00,,,,,,
2017-12-01,"DL","ANC","Anchorage, AK","MSP","Minneapolis, MN","2150",-2.00,0.00,"0559",-15.00,0.00,0.00,,,,,,
2017-12-01,"DL","MSP","Minneapolis, MN","ANC","Anchorage, AK","1730",-4.00,0.00,"2009",-45.00,0.00,0.00,,,,,,
2017-12-01,"DL","SEA","Seattle, WA","ANC","Anchorage, AK","1530",10.00,10.00,"1813",-3.00,0.00,0.00,,,,,,
2017-12-01,"DL","ANC","Anchorage, AK","SEA","Seattle, WA","1515",33.00,33.00,"1950",-3.00,0.00,0.00,,,,,,
2017-12-01,"DL","SEA","Seattle, WA","ANC","Anchorage, AK","1145",50.00,50.00,"1511",39.00,39.00,0.00,39.00,0.00,0.00,0.00,0.00,
2017-12-01,"DL","SEA","Seattle, WA","FAI","Fairbanks, AK","1959",0.00,0.00,"2235",-28.00,0.00,0.00,,,,,,
