,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
209,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1928,39.0,39.0,2209.0,48.0,48.0,0.0,0.0,39.0,9.0,0.0,0.0,
210,2017-03-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",925,-14.0,0.0,1035.0,-28.0,0.0,0.0,,,,,,
211,2017-03-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",635,-13.0,0.0,832.0,-7.0,0.0,0.0,,,,,,
212,2017-03-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",1857,60.0,60.0,2120.0,46.0,46.0,0.0,20.0,0.0,0.0,0.0,26.0,
213,2017-03-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",1615,33.0,33.0,1901.0,41.0,41.0,0.0,11.0,0.0,8.0,0.0,22.0,
214,2017-03-01,B6,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1257,15.0,15.0,1607.0,13.0,13.0,0.0,,,,,,
215,2017-03-01,B6,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",926,-1.0,0.0,1230.0,14.0,14.0,0.0,,,,,,
216,2017-03-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1930,-3.0,0.0,2304.0,-12.0,0.0,0.0,,,,,,
217,2017-03-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1700,-5.0,0.0,1920.0,-5.0,0.0,0.0,,,,,,
218,2017-03-01,EV,CLE,"Cleveland, OH",ORD,"Chicago, IL",636,-1.0,0.0,715.0,0.0,0.0,0.0,,,,,,
219,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1100,-6.0,0.0,1226.0,-14.0,0.0,0.0,,,,,,
220,2017-03-01,EV,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",545,-11.0,0.0,742.0,-28.0,0.0,0.0,,,,,,
222,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",850,-4.0,0.0,1022.0,-8.0,0.0,0.0,,,,,,
223,2017-03-01,EV,ORD,"Chicago, IL",CLE,"Cleveland, OH",605,69.0,69.0,944.0,78.0,78.0,0.0,69.0,0.0,9.0,0.0,0.0,
224,2017-03-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1132,-9.0,0.0,1348.0,-14.0,0.0,0.0,,,,,,
225,2017-03-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",905,59.0,59.0,1114.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,
228,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",915,-10.0,0.0,1042.0,-28.0,0.0,0.0,,,,,,
230,2017-03-01,EV,CLE,"Cleveland, OH",DTW,"Detroit, MI",644,-4.0,0.0,732.0,-18.0,0.0,0.0,,,,,,
233,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1120,-12.0,0.0,1354.0,32.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,
234,2017-03-01,EV,CLE,"Cleveland, OH",DTW,"Detroit, MI",1027,-3.0,0.0,1114.0,-16.0,0.0,0.0,,,,,,
235,2017-03-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",835,-9.0,0.0,914.0,-38.0,0.0,0.0,,,,,,
241,2017-03-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",905,-2.0,0.0,1028.0,-12.0,0.0,0.0,,,,,,
242,2017-03-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1100,-3.0,0.0,1118.0,-17.0,0.0,0.0,,,,,,
244,2017-03-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1013,-5.0,0.0,1457.0,-6.0,0.0,0.0,,,,,,
246,2017-03-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",2115,-3.0,0.0,2320.0,-14.0,0.0,0.0,,,,,,
248,2017-03-01,UA,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1530,-5.0,0.0,1801.0,-22.0,0.0,0.0,,,,,,
250,2017-03-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",630,-4.0,0.0,759.0,-12.0,0.0,0.0,,,,,,
251,2017-03-01,UA,CLE,"Cleveland, OH",IAH,"Houston, TX",816,0.0,0.0,1045.0,10.0,10.0,0.0,,,,,,
252,2017-03-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",600,10.0,10.0,635.0,-5.0,0.0,0.0,,,,,,
253,2017-03-01,UA,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",725,-4.0,0.0,1027.0,-5.0,0.0,0.0,,,,,,
254,2017-03-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1940,-2.0,0.0,2153.0,-6.0,0.0,0.0,,,,,,
255,2017-03-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1759,-6.0,0.0,1928.0,-12.0,0.0,0.0,,,,,,
256,2017-03-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1758,207.0,207.0,2142.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,193.0,
257,2017-03-01,UA,CLE,"Cleveland, OH",SFO,"San Francisco, CA",700,-2.0,0.0,931.0,-4.0,0.0,0.0,,,,,,
258,2017-03-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1530,2.0,2.0,1549.0,-17.0,0.0,0.0,,,,,,
259,2017-03-01,UA,MCO,"Orlando, FL",CLE,"Cleveland, OH",1210,-5.0,0.0,1423.0,-15.0,0.0,0.0,,,,,,
260,2017-03-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",2004,-4.0,0.0,2140.0,-7.0,0.0,0.0,,,,,,
261,2017-03-01,UA,CLE,"Cleveland, OH",MCO,"Orlando, FL",835,-7.0,0.0,1051.0,-23.0,0.0,0.0,,,,,,
262,2017-03-01,UA,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1915,-9.0,0.0,2147.0,-9.0,0.0,0.0,,,,,,
263,2017-03-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1445,230.0,230.0,2050.0,225.0,225.0,0.0,11.0,0.0,0.0,0.0,214.0,
264,2017-03-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",1651,14.0,14.0,1842.0,13.0,13.0,0.0,,,,,,
265,2017-03-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",732,-5.0,0.0,747.0,-22.0,0.0,0.0,,,,,,
266,2017-03-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1420,-1.0,0.0,1552.0,-11.0,0.0,0.0,,,,,,
267,2017-03-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1517,-5.0,0.0,2240.0,-15.0,0.0,0.0,,,,,,
268,2017-03-01,UA,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",705,-6.0,0.0,913.0,-21.0,0.0,0.0,,,,,,
269,2017-03-01,UA,IAH,"Houston, TX",CLE,"Cleveland, OH",1602,-4.0,0.0,1923.0,-24.0,0.0,0.0,,,,,,
272,2017-03-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1552,-6.0,0.0,2012.0,-32.0,0.0,0.0,,,,,,
274,2017-03-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",1620,-5.0,0.0,1735.0,-15.0,0.0,0.0,,,,,,
276,2017-03-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",1039,-4.0,0.0,1759.0,-11.0,0.0,0.0,,,,,,
279,2017-03-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1750,11.0,11.0,2022.0,13.0,13.0,0.0,,,,,,
280,2017-03-01,UA,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1135,-11.0,0.0,1416.0,-14.0,0.0,0.0,,,,,,
287,2017-03-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",940,36.0,36.0,1233.0,28.0,28.0,0.0,2.0,0.0,0.0,0.0,26.0,
288,2017-03-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",2020,10.0,10.0,2247.0,2.0,2.0,0.0,,,,,,
293,2017-03-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",940,4.0,4.0,1100.0,5.0,5.0,0.0,,,,,,
294,2017-03-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2210,-1.0,0.0,2322.0,-3.0,0.0,0.0,,,,,,
295,2017-03-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1815,62.0,62.0,2030.0,55.0,55.0,0.0,1.0,0.0,0.0,0.0,54.0,
302,2017-03-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",635,-5.0,0.0,753.0,33.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,
303,2017-03-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1720,-3.0,0.0,1757.0,2.0,2.0,0.0,,,,,,
